,id,user,created_at,text,tweetinput,positive,neutral,negative,compound
67,1004503851024564224,dn_Tb,2018-06-06 23:22:35,"RT @AsteroidCowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃SpiderMan　＃マーベル
https://t.co/sG8HIydGAJ","rt @asteroidcowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃spiderman　＃マーベル
https://t.co/sg8hiydgaj",0.0,1.0,0.0,0.0
68,1004503823577165824,MarvelFlix,2018-06-06 23:22:28,"RT @MarvelLATAM: Lo que te hace diferente es lo que te vuelve Spider-Man. 
Ve el nuevo #SpiderMan #UnNuevoUniverso ahora - Próximamente en…","rt @marvellatam: lo que te hace diferente es lo que te vuelve spider-man. 
ve el nuevo #spiderman #unnuevouniverso ahora - próximamente en…",0.0,1.0,0.0,0.0
69,1004503767381929985,MarcioJR07,2018-06-06 23:22:15,RT @actionecomics: Expectativas boas para essa produção da Sony! 😃 #SpiderMan https://t.co/7F1otl4eOC,rt @actionecomics: expectativas boas para essa produção da sony! 😃 #spiderman https://t.co/7f1otl4eoc,0.157,0.843,0.0,0.4199
70,1004503732204331009,erravitanwer,2018-06-06 23:22:07,"RT @fundingmonster: Please #support Brand #comic #donate here #today 😀
⬇️
https://t.co/nI3HnJpejQ ❤️
⬆️
#superheroes #comics #comicbooks #m…","rt @fundingmonster: please #support brand #comic #donate here #today 😀
⬇️
https://t.co/ni3hnjpejq ❤️
⬆️
#superheroes #comics #comicbooks #m…",0.194,0.806,0.0,0.5859
71,1004503700512169985,pennstateSHIELD,2018-06-06 23:21:59,Tonight a new era begins on #SagaOfTheCloneSaga Beilly Reilly becomes the new #SpiderMan and we dive into Sensation… https://t.co/Osvi2maM3s,tonight a new era begins on #sagaoftheclonesaga beilly reilly becomes the new #spiderman and we dive into sensation… https://t.co/osvi2mam3s,0.0,1.0,0.0,0.0
72,1004504053664157697,matheusmeleti,2018-06-06 23:23:23,A batalha mais difícil é aquela que travamos contra nós mesmo #pracima #projetoironman #ironman,a batalha mais difícil é aquela que travamos contra nós mesmo #pracima #projetoironman #ironman,0.0,1.0,0.0,0.0
73,1004503880594526209,Evrymom2Ironmom,2018-06-06 23:22:42,"Happy #globalrunningday everyone! Stay in the light...
.
.
.
.
.
#run #runner #trailrunner #running #trail… https://t.co/4IcB0y4owb","happy #globalrunningday everyone! stay in the light...
.
.
.
.
.
#run #runner #trailrunner #running #trail… https://t.co/4icb0y4owb",0.25,0.75,0.0,0.6114
74,1004503750315249665,Manuu_views,2018-06-06 23:22:11,RT @RDJlock: HE IS A PRINCESS!!! #TonyStark #ironman #Disney https://t.co/m4rP79nS1D,rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,0.0,1.0,0.0,0.0
75,1004503743725891584,Pika_ChupaChups,2018-06-06 23:22:09,RT @RDJlock: HE IS A PRINCESS!!! #TonyStark #ironman #Disney https://t.co/m4rP79nS1D,rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,0.0,1.0,0.0,0.0
76,1004503736792723456,MikangirlM,2018-06-06 23:22:08,RT @RDJlock: HE IS A PRINCESS!!! #TonyStark #ironman #Disney https://t.co/m4rP79nS1D,rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,0.0,1.0,0.0,0.0
77,1004503715997310976,nakto0905,2018-06-06 23:22:03,RT @RDJlock: HE IS A PRINCESS!!! #TonyStark #ironman #Disney https://t.co/m4rP79nS1D,rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,0.0,1.0,0.0,0.0
78,1004503606597279745,axlxl_,2018-06-06 23:21:37,RT @RDJlock: HE IS A PRINCESS!!! #TonyStark #ironman #Disney https://t.co/m4rP79nS1D,rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,0.0,1.0,0.0,0.0
79,1004503586036854784,FlyOnlyFah,2018-06-06 23:21:32,RT @RDJlock: HE IS A PRINCESS!!! #TonyStark #ironman #Disney https://t.co/m4rP79nS1D,rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,0.0,1.0,0.0,0.0
80,1004503558677557254,Thordnsons,2018-06-06 23:21:25,RT @spidertams: what do you mean this is not what happened???? #InfinityWar #infinitywarspoiler #IronMan #SpiderMan #GuardiansOfTheGalaxy h…,rt @spidertams: what do you mean this is not what happened???? #infinitywar #infinitywarspoiler #ironman #spiderman #guardiansofthegalaxy h…,0.0,1.0,0.0,0.0
